동별(1),동별(2),동별(3),2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
동별(1),동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
합계,노원구,상계6·7동,34648,1.11,31214,33642,1.11,30308,32774,1.11,29526,32044,1.11,28868,31565,1.11,28437
합계,노원구,중계2·3동,36763,0.9,40848,35586,0.9,39540,34326,0.9,38140,33497,0.9,37219,32618,0.9,36242
합계,노원구,공릉1동,39040,1.41,27688,38324,1.41,27180,37277,1.41,26438,37184,1.41,26372,36683,1.41,26016
합계,은평구,소계,484546,29.71,16308,484043,29.71,16292,477173,29.71,16061,470602,29.71,15838,470869,29.71,15849
합계,은평구,녹번동,38411,1.79,21459,37815,1.79,21126,37164,1.79,20762,36884,1.79,20606,36511,1.79,20397
합계,은평구,불광1동,40917,3.13,13073,40022,3.13,12787,38777,3.13,12389,38265,3.13,12225,37694,3.13,12043
합계,은평구,갈현1동,24536,0.97,25295,23396,0.97,24120,22077,0.97,22760,17151,0.97,17681,14644,0.97,15097
합계,은평구,갈현2동,30150,0.96,31406,29239,0.96,30457,28547,0.96,29736,28176,0.96,29350,27714,0.96,28869
합계,은평구,구산동,33804,1.38,24496,32997,1.38,23911,32464,1.38,23525,32020,1.38,23203,31663,1.38,22944
합계,은평구,대조동,27910,0.85,32835,27579,0.85,32446,27204,0.85,32005,26862,0.85,31602,27758,0.85,32656
합계,은평구,응암1동,25654,1.2,21378,31265,1.2,26054,33287,1.2,27739,33279,1.2,27733,32969,1.2,27474
합계,은평구,응암2동,25466,0.78,32649,27776,0.78,35610,28107,0.78,36035,28016,0.78,35918,27544,0.78,35313
합계,은평구,신사1동,28570,0.84,34012,27776,0.84,33067,27231,0.84,32418,26984,0.84,32124,26688,0.84,31771
합계,은평구,신사2동,21875,1,21875,20945,1,20945,20330,1,20330,19497,1,19497,19101,1,19101
합계,은평구,증산동,16172,0.81,19965,15487,0.81,19120,15034,0.81,18560,18647,0.81,23021,18415,0.81,22735
합계,은평구,수색동,8952,1.29,6940,11258,1.29,8727,12752,1.29,9885,13210,1.29,10240,20560,1.29,15938
