"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241120","경인선","온수(성공회대입구)","7056","6821","20241123"
"20241120","장항선","온양온천","4605","4764","20241123"
"20241120","9호선2~3단계","올림픽공원(한국체대)","6986","7416","20241123"
"20241120","5호선","올림픽공원(한국체대)","5580","4599","20241123"
"20241120","경원선","왕십리(성동구청)","18010","17994","20241123"
"20241120","2호선","왕십리(성동구청)","17782","15517","20241123"
"20241120","5호선","왕십리(성동구청)","5132","5874","20241123"
"20241120","경원선","외대앞","11857","11579","20241123"
"20241120","2호선","용답","3464","3496","20241123"
"20241120","2호선","용두(동대문구청)","2733","2877","20241123"
"20241120","7호선","용마산(용마폭포공원)","6218","6077","20241123"
"20241120","중앙선","용문","2987","3032","20241123"
"20241120","경부선","용산","40302","40544","20241123"
"20241120","5호선","우장산","16719","16845","20241123"
"20241120","중앙선","운길산","648","627","20241123"
"20241120","공항철도 1호선","운서","9736","9995","20241123"
"20241120","경의선","운정","8685","8176","20241123"
"20241120","경의선","운천","4","3","20241123"
"20241120","일산선","원당","12504","11903","20241123"
"20241120","중앙선","원덕","338","328","20241123"
"20241120","수인선","원인재","4946","5156","20241123"
"20241120","서해선","원종","5175","5187","20241123"
"20241120","일산선","원흥","12687","12001","20241123"
"20241120","경원선","월계","8550","7749","20241123"
"20241120","6호선","월곡(동덕여대)","14143","13927","20241123"
"20241120","수인선","월곶","3560","3271","20241123"
"20241120","6호선","월드컵경기장(성산)","4860","5129","20241123"
"20241120","경의선","월롱","2358","2128","20241123"
"20241120","3호선","을지로3가","13572","13347","20241123"
"20241120","2호선","을지로3가","28777","28137","20241123"
"20241120","5호선","을지로4가","7584","7373","20241123"
"20241120","2호선","을지로4가","16289","16285","20241123"
"20241120","2호선","을지로입구","56201","56816","20241123"
"20241120","경원선","응봉","1949","1633","20241123"
"20241120","6호선","응암","19884","19663","20241123"
"20241120","경부선","의왕","9974","9945","20241123"
"20241120","경원선","의정부","19786","19951","20241123"
"20241120","2호선","이대","20287","22667","20241123"
"20241120","경강선","이매","1308","1064","20241123"
"20241120","분당선","이매","6350","6084","20241123"
